age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,9,0,1,0,34,0,0,0,22,1,210,2,-1,0,3,0
56,5,0,2,0,352,0,0,0,19,9,198,1,-1,0,3,0
33,4,0,2,0,201,1,0,0,19,9,171,1,183,1,0,0
41,1,0,1,0,304,1,0,2,30,8,395,2,-1,0,3,0
32,9,0,1,0,13565,0,0,0,3,3,613,2,-1,0,3,0
30,4,0,2,0,218,0,0,2,3,6,75,1,-1,0,3,0
38,9,0,2,0,1369,1,0,0,3,3,841,3,-1,0,3,0
30,9,0,1,0,58,1,0,0,8,1,116,2,-1,0,3,0
34,9,0,1,0,95,0,0,0,22,1,119,8,-1,0,3,0
30,9,0,1,0,800,0,0,1,28,4,60,2,-1,0,3,0
36,7,0,1,0,9713,1,0,2,27,8,72,3,-1,0,3,0
53,9,0,1,0,0,0,0,0,4,1,134,2,-1,0,3,0
50,1,0,0,0,1558,1,0,0,3,3,294,1,265,1,1,0
31,9,0,1,0,13,0,0,0,6,8,318,1,166,1,0,0
35,9,0,2,0,1362,1,0,2,21,8,230,1,-1,0,3,0
48,1,0,1,0,312,1,1,0,3,3,369,2,-1,0,3,0
26,9,0,2,0,1274,0,0,1,29,4,475,2,-1,0,3,0
25,4,0,2,0,493,1,0,2,4,6,301,1,-1,0,3,0
32,0,0,2,0,170,0,0,0,18,9,74,1,-1,0,3,0
30,9,0,1,1,-305,0,1,0,14,1,108,6,-1,0,3,0
25,9,0,2,1,160,0,1,2,13,5,151,1,-1,0,3,0
42,4,0,2,0,145,0,0,0,26,1,174,2,-1,0,3,0
36,0,0,1,0,-207,0,0,0,2,3,83,1,-1,0,3,0
26,8,0,1,0,5569,0,0,0,2,3,236,1,-1,0,3,0
31,0,0,2,0,-194,0,0,2,21,8,165,2,-1,0,3,0
42,0,0,1,0,243,1,0,2,14,8,46,5,-1,0,3,0
29,1,0,1,0,-20,1,0,2,29,8,814,2,-1,0,3,1
30,4,0,2,0,18,0,0,2,20,8,121,11,-1,0,3,0
45,4,0,2,0,4831,0,0,0,29,4,479,11,-1,0,3,1
40,3,0,0,0,109,1,0,0,8,8,308,1,367,3,0,0
31,7,0,1,0,2251,1,1,0,17,5,134,1,-1,0,3,0
36,0,0,1,0,268,0,1,0,29,4,719,1,-1,0,3,0
27,9,0,2,0,1075,0,0,0,2,11,529,2,184,1,2,1
33,9,0,2,0,109,1,1,0,25,8,601,2,10,7,0,1
30,1,0,1,0,297,1,0,0,25,5,218,1,-1,0,3,0
34,4,0,2,0,28,1,0,0,14,8,175,1,358,2,0,0
31,7,0,1,0,181,0,0,0,30,0,325,1,-1,0,3,1
22,8,0,1,0,216,0,0,0,6,1,178,1,179,2,2,1
28,7,0,1,0,3331,1,0,2,28,8,229,2,-1,0,3,0
36,4,0,2,0,609,0,0,0,18,1,33,2,-1,0,3,0
31,0,0,1,0,320,1,0,0,15,8,376,2,-1,0,3,0
36,4,0,2,0,112,1,0,0,15,5,83,2,-1,0,3,0
34,7,0,1,0,194,1,1,0,15,0,149,1,268,2,1,0
39,0,0,2,0,2600,1,0,2,17,6,77,1,-1,0,3,0
31,10,0,1,0,500,1,0,0,18,8,184,2,350,2,0,0
32,9,0,1,0,801,1,0,0,17,0,637,1,-1,0,3,0
25,8,0,2,0,938,1,0,0,14,8,36,1,352,1,1,0
32,4,0,2,0,2134,0,0,0,10,9,98,2,-1,0,3,0
38,9,0,1,0,332,1,0,0,29,1,73,2,-1,0,3,0
37,6,0,2,0,1116,0,0,2,17,6,184,1,-1,0,3,0
29,7,0,2,0,2564,1,0,2,27,8,306,2,-1,0,3,0
27,6,0,2,1,5,0,1,0,18,5,384,1,-1,0,3,0
32,4,0,2,0,297,0,0,0,13,1,225,2,-1,0,3,0
29,4,0,2,0,2799,1,0,0,5,8,371,2,-1,0,3,0
27,9,0,1,0,3485,0,1,0,25,5,282,2,-1,0,3,0
34,9,0,2,0,992,1,0,0,5,3,71,2,-1,0,3,1
25,9,0,1,0,139,0,1,0,11,4,202,1,91,1,2,1
29,7,0,1,0,-251,0,0,0,25,5,98,1,-1,0,3,0
30,9,0,1,1,28,1,0,0,15,8,778,5,301,1,0,0
39,9,0,3,0,0,1,0,2,7,8,130,1,-1,0,3,0
34,4,0,2,0,6707,1,0,0,20,0,16,3,154,4,1,0
38,0,0,1,0,144,1,0,0,18,8,177,1,-1,0,3,0
31,8,0,2,0,479,1,0,2,29,8,72,12,-1,0,3,0
26,1,0,1,0,199,1,1,2,12,8,125,1,-1,0,3,0
37,10,0,2,0,1316,1,0,0,10,7,350,2,112,3,0,1
37,3,0,2,0,206,0,0,0,27,1,115,5,-1,0,3,0
27,7,0,1,0,-74,1,0,0,15,8,151,1,345,1,0,0
31,4,0,2,0,-205,1,0,2,3,6,56,12,-1,0,3,0
56,0,0,1,0,2815,1,0,0,11,11,212,1,-1,0,3,1
27,8,0,2,0,66,1,0,2,16,8,456,1,-1,0,3,0
39,1,0,1,0,0,1,0,0,14,8,9,10,330,10,1,0
29,11,0,1,0,923,0,0,0,26,8,333,1,-1,0,3,0
55,4,0,2,0,0,0,0,0,3,9,222,3,187,3,0,0
38,6,0,2,0,973,0,0,0,4,3,138,1,-1,0,3,0
37,6,0,0,0,235,1,0,0,17,0,191,4,323,9,0,0
31,9,0,2,0,3729,1,0,0,5,3,176,2,8,10,1,0
34,1,0,0,1,81,0,1,0,9,3,44,2,-1,0,3,0
31,4,0,1,0,36,0,0,0,27,1,105,2,-1,0,3,0
46,6,0,2,0,1934,1,0,2,15,8,236,3,-1,0,3,0
28,10,0,1,0,559,1,0,2,4,6,236,1,-1,0,3,0
30,9,0,1,0,513,1,0,0,20,0,241,1,-1,0,3,0
32,9,0,2,0,6284,0,0,0,14,1,167,8,-1,0,3,0
46,6,0,0,0,2032,0,0,0,30,5,424,2,-1,0,3,0
29,0,0,1,0,5711,1,1,2,21,8,899,1,-1,0,3,0
35,9,0,2,0,2650,0,0,0,25,1,133,8,-1,0,3,0
31,1,0,1,0,501,1,0,0,9,0,132,1,-1,0,3,0
43,0,0,1,0,-495,1,1,2,23,8,131,1,-1,0,3,0
40,0,0,1,0,208,1,1,0,11,8,204,2,-1,0,3,0
36,9,0,1,0,98,0,0,0,30,4,771,1,-1,0,3,1
35,1,0,3,1,-532,1,0,2,7,8,149,1,-1,0,3,0
27,6,0,1,0,923,0,0,0,5,3,139,1,-1,0,3,0
35,9,0,2,0,33,0,0,0,29,1,300,2,-1,0,3,0
33,9,0,2,0,154,0,0,0,4,6,111,2,78,2,0,0
38,4,0,2,0,35,1,0,0,17,0,156,1,273,3,0,0
27,8,0,2,0,37,1,0,0,7,8,125,1,364,1,0,0
29,4,0,2,0,1275,1,1,0,27,3,45,1,-1,0,3,0
30,9,0,2,0,1081,0,0,0,6,1,377,2,-1,0,3,0
39,1,0,1,0,383,1,1,0,4,3,292,2,-1,0,3,0
38,0,0,1,0,0,0,0,0,8,5,452,3,-1,0,3,0
31,6,0,2,0,91,0,0,2,23,8,206,1,-1,0,3,0
36,4,0,2,0,1520,0,0,0,22,1,101,2,-1,0,3,0
34,9,0,2,0,228,1,0,0,22,5,387,4,-1,0,3,0
26,4,0,2,0,1094,1,0,0,8,11,137,1,-1,0,3,1
41,9,0,2,0,-89,1,0,0,3,3,195,4,251,4,0,0
28,9,0,1,0,441,0,1,0,9,5,171,2,-1,0,3,0
37,4,0,2,0,6158,1,0,0,21,9,14,9,-1,0,3,0
35,4,0,2,0,471,0,0,0,5,6,276,2,-1,0,3,1
35,4,0,2,0,3576,1,0,0,19,1,68,1,-1,0,3,0
30,7,0,1,0,140,1,0,0,15,8,760,1,-1,0,3,1
30,7,0,1,0,862,1,1,2,20,8,550,2,-1,0,3,0
36,9,0,1,0,129,1,0,2,20,6,200,7,-1,0,3,0
39,4,0,2,0,889,0,0,0,20,9,78,2,185,4,0,0
36,4,0,2,0,7506,1,0,0,6,8,839,2,188,1,2,1
34,7,0,1,0,0,1,0,0,6,8,307,2,-1,0,3,0
35,9,0,2,0,1455,1,0,2,15,8,70,6,-1,0,3,0
28,4,0,2,0,278,0,1,0,29,4,194,1,-1,0,3,0
22,8,0,3,0,466,0,0,0,30,6,377,1,-1,0,3,1
31,9,0,1,0,1188,1,0,0,19,9,82,1,-1,0,3,0
31,0,0,2,0,1531,1,0,2,28,8,48,5,-1,0,3,0
25,7,0,1,0,162,1,0,0,1,11,531,2,-1,0,3,1
26,1,0,0,0,93,1,0,0,14,8,43,3,-1,0,3,0
42,4,0,2,0,1,0,0,0,27,1,223,13,-1,0,3,0
44,9,0,0,0,148,0,0,2,19,6,311,2,-1,0,3,0
28,9,0,2,0,370,1,0,2,23,8,108,5,-1,0,3,0
38,9,0,2,0,4325,1,0,2,6,8,87,1,-1,0,3,0
30,7,0,1,0,-100,1,1,0,15,8,292,1,-1,0,3,0
28,4,0,2,0,9710,0,0,0,14,10,786,2,-1,0,3,0
42,2,0,2,0,231,0,0,2,17,6,241,1,-1,0,3,0
35,4,0,2,0,996,0,0,2,20,6,17,2,-1,0,3,0
29,9,0,2,0,865,0,0,0,17,8,248,3,243,1,0,0
29,6,0,2,0,270,1,0,0,14,4,110,7,252,4,0,0
27,4,0,2,0,6791,0,0,1,22,7,174,2,229,28,2,0
29,4,0,2,0,1351,0,0,0,11,7,228,1,91,1,0,0
32,4,0,2,0,2016,0,0,0,13,0,232,1,348,1,2,1
30,9,0,2,0,2784,0,0,0,11,1,161,1,-1,0,3,0
52,6,0,1,0,207,0,1,0,18,9,179,1,-1,0,3,0
27,2,0,2,0,512,1,1,2,3,6,220,1,-1,0,3,0
22,9,0,1,0,333,0,1,1,12,9,129,1,-1,0,3,0
31,7,0,1,0,342,1,0,0,15,8,117,5,366,7,1,0
30,0,0,1,0,125,1,0,0,16,1,140,3,116,1,1,0
40,7,0,1,0,464,1,1,2,19,8,183,7,-1,0,3,0
53,4,0,2,0,720,1,0,2,17,9,99,1,-1,0,3,0
28,6,0,2,0,805,0,0,0,12,9,116,5,170,2,0,0
46,3,0,1,0,198,1,0,0,14,8,93,1,350,1,1,0
44,9,0,1,0,1548,1,0,0,21,9,62,6,-1,0,3,0
33,0,0,1,0,607,0,0,0,27,3,110,2,-1,0,3,1
32,9,0,2,0,4,1,0,0,30,0,311,1,-1,0,3,0
43,0,0,3,0,682,0,0,2,19,6,156,6,-1,0,3,0
34,4,0,2,0,48,1,0,0,12,1,810,3,93,6,0,1
21,1,0,1,1,-59,1,1,2,4,6,83,1,-1,0,3,0
33,1,0,1,0,266,1,1,0,17,0,100,2,-1,0,3,0
25,7,0,3,0,342,0,0,0,29,5,281,4,-1,0,3,0
33,0,0,1,0,1221,1,0,2,23,8,245,1,-1,0,3,0
31,2,0,1,0,159,1,0,2,23,8,533,1,-1,0,3,0
28,6,0,2,0,270,1,0,0,7,8,49,2,345,2,0,0
31,10,0,1,0,2066,0,1,0,21,1,162,2,-1,0,3,0
28,0,0,1,0,2831,1,0,2,9,8,211,3,-1,0,3,0
40,9,0,1,0,103,0,0,0,25,1,106,7,-1,0,3,0
46,1,0,1,0,-100,1,0,0,8,8,445,2,303,1,0,0
39,4,0,2,0,490,0,0,2,20,6,44,3,-1,0,3,0
32,4,0,2,0,1,0,0,0,20,1,108,5,-1,0,3,0
29,0,0,1,0,305,1,0,0,6,8,138,2,-1,0,3,0
28,8,0,1,0,1925,0,0,0,20,1,147,1,90,1,0,0
31,9,0,2,0,110,0,0,0,21,1,238,4,-1,0,3,0
33,1,0,1,0,16649,1,0,0,5,3,173,1,-1,0,3,0
22,8,0,1,0,246,1,0,1,12,8,25,1,-1,0,3,0
35,0,0,1,0,57,1,0,0,18,8,173,1,-1,0,3,0
46,1,0,1,0,374,0,1,0,4,3,23,5,7,2,1,0
31,9,0,2,0,3222,1,0,0,28,4,175,1,-1,0,3,0
35,6,0,2,0,935,1,0,0,20,9,71,1,176,2,0,0
31,1,0,1,0,512,1,0,0,18,8,44,8,-1,0,3,0
58,4,0,2,0,1387,1,0,1,3,3,140,6,6,6,1,0
29,7,0,1,0,612,0,0,0,5,3,47,1,198,5,1,0
35,9,0,1,0,966,0,0,0,21,0,71,2,-1,0,3,0
42,4,0,2,0,2124,1,0,2,15,8,161,3,-1,0,3,0
28,7,0,1,0,129,1,0,0,18,8,32,2,-1,0,3,0
28,4,0,2,0,320,1,0,0,30,0,239,1,-1,0,3,0
33,4,0,2,0,1909,0,0,0,8,1,191,2,-1,0,3,0
27,7,0,1,0,195,1,0,0,25,3,416,3,-1,0,3,1
34,4,0,2,0,1730,1,0,0,8,10,97,2,-1,0,3,0
31,4,0,2,0,1675,0,0,0,2,11,114,2,363,1,0,0
40,9,0,1,0,191,1,0,0,18,8,19,4,374,1,1,0
43,1,0,1,0,99,0,0,0,30,5,226,2,-1,0,3,0
31,1,0,1,0,0,1,0,2,21,8,397,9,-1,0,3,0
32,8,0,1,0,1883,1,0,2,23,8,57,1,-1,0,3,0
35,4,0,2,0,1064,1,0,0,6,3,69,2,261,1,1,0
38,1,0,0,0,3132,0,0,0,5,3,304,1,-1,0,3,0
34,7,0,1,0,719,1,0,2,15,8,362,3,-1,0,3,0
30,0,0,1,1,-228,1,0,0,15,8,101,1,371,1,0,0
33,0,0,1,0,61,0,0,0,24,5,286,4,-1,0,3,0
30,4,0,2,0,4808,0,0,0,10,7,272,1,-1,0,3,1
34,1,0,1,0,1599,1,0,0,12,8,59,3,-1,0,3,0
39,4,0,2,0,0,0,0,0,6,1,135,2,-1,0,3,0
35,4,0,2,0,-324,0,1,0,21,5,985,11,-1,0,3,1
39,4,0,2,0,375,1,0,2,8,8,66,2,-1,0,3,0
51,9,0,1,0,511,1,1,2,28,8,67,2,-1,0,3,0
38,1,0,0,0,350,1,0,2,21,8,35,1,-1,0,3,0
26,1,0,1,0,658,0,1,1,23,5,34,4,-1,0,3,0
35,4,0,2,0,2576,1,1,0,6,8,136,3,273,4,0,0
35,4,0,2,0,1,1,0,0,5,8,80,1,285,1,0,0
38,0,0,2,0,3954,1,0,0,10,3,201,1,182,3,0,0
29,4,0,2,0,-233,1,0,2,19,8,329,1,-1,0,3,0
26,1,0,1,0,0,1,0,0,18,8,82,4,-1,0,3,0
41,1,0,1,0,842,1,0,2,5,8,144,3,-1,0,3,0
31,4,0,2,0,5691,1,0,0,21,5,357,1,-1,0,3,0
31,1,0,1,0,11639,1,0,0,7,8,1191,1,-1,0,3,0
28,0,0,2,0,282,1,1,0,3,3,329,1,-1,0,3,0
31,2,0,2,0,46,1,0,0,5,3,90,1,-1,0,3,0
39,7,0,1,0,300,1,1,2,28,8,180,2,-1,0,3,0
32,4,0,2,0,12686,1,0,0,20,9,176,1,170,1,0,0
35,4,0,2,0,797,1,0,2,8,8,81,1,-1,0,3,0
26,9,0,1,0,0,0,1,0,30,5,65,26,-1,0,3,0
50,9,0,1,0,-97,1,0,0,8,0,425,1,306,2,0,0
35,6,0,2,0,4693,1,0,0,21,9,227,5,-1,0,3,0
50,0,0,1,0,1651,1,0,2,26,8,41,2,-1,0,3,0
37,7,0,1,0,54,1,0,0,18,9,328,2,131,1,0,0
33,1,0,1,0,307,1,0,2,5,8,309,2,-1,0,3,0
35,4,0,2,0,694,1,0,0,6,0,129,1,-1,0,3,0
31,0,0,1,0,4198,0,0,0,25,9,234,1,-1,0,3,1
39,7,0,1,0,158,1,0,2,6,6,354,2,-1,0,3,0
30,4,0,2,0,635,1,0,2,4,6,29,2,-1,0,3,0
36,9,0,2,0,4644,0,0,0,26,1,29,12,-1,0,3,0
49,0,0,1,0,275,0,0,2,8,8,14,1,-1,0,3,0
39,0,0,1,0,2263,1,1,1,21,9,1158,9,-1,0,3,1
55,9,0,1,0,3339,1,0,2,2,6,63,1,-1,0,3,0
23,8,0,1,0,0,0,0,1,4,8,526,1,-1,0,3,0
23,1,0,1,0,492,1,0,2,4,6,638,1,-1,0,3,1
27,9,0,1,0,639,1,0,0,16,0,119,1,314,5,2,0
26,7,0,1,0,-90,0,1,0,8,5,240,1,-1,0,3,0
30,9,0,1,0,3096,1,0,0,11,1,272,4,-1,0,3,0
33,4,0,1,0,239,1,1,0,18,5,47,1,-1,0,3,0
26,7,0,1,0,50,1,0,0,12,1,153,1,-1,0,3,0
