poutcome,pdays,previous,contact,campaign,day,housing,marital,y
3,-1,0,0,1,7,1,0,1
3,-1,0,0,2,12,0,0,0
3,-1,0,2,1,13,1,0,0
0,84,1,0,1,1,1,0,0
2,92,1,0,1,3,1,0,0
2,94,1,0,1,16,0,0,1
3,-1,0,0,2,2,1,0,0
3,-1,0,0,1,18,1,0,1
3,-1,0,0,5,18,1,0,0
3,-1,0,2,1,3,1,0,0
3,-1,0,0,5,4,0,0,1
3,-1,0,0,1,4,1,0,0
3,-1,0,0,2,2,0,0,0
0,99,1,0,1,7,1,0,1
3,-1,0,0,2,2,0,0,0
3,-1,0,2,1,9,1,0,0
3,-1,0,0,1,22,1,0,0
3,-1,0,2,1,9,0,0,1
3,-1,0,0,4,24,0,0,0
3,-1,0,2,1,9,1,0,1
3,-1,0,0,1,7,0,0,1
3,-1,0,1,3,8,0,0,0
3,-1,0,2,3,16,1,0,0
3,-1,0,2,4,6,1,0,1
3,-1,0,0,1,21,0,0,0
3,-1,0,2,4,12,1,0,0
3,-1,0,2,1,21,1,0,0
3,-1,0,0,1,11,1,0,0
3,-1,0,0,2,6,1,0,1
3,-1,0,0,1,12,1,0,0
3,-1,0,0,2,29,1,0,0
2,92,5,0,1,13,0,0,1
3,-1,0,0,1,10,0,0,0
3,-1,0,0,5,26,1,0,0
3,-1,0,2,1,3,1,0,0
3,-1,0,1,2,16,0,0,1
3,-1,0,2,1,6,0,0,0
3,-1,0,0,12,27,1,0,0
3,-1,0,0,2,8,1,0,0
3,-1,0,2,1,14,1,0,0
3,-1,0,0,3,6,0,0,0
3,-1,0,2,2,12,1,0,0
3,-1,0,0,2,15,1,0,1
3,-1,0,2,2,4,1,0,0
3,-1,0,0,3,6,0,0,0
3,-1,0,0,1,26,0,0,0
0,91,2,0,2,4,0,0,0
3,-1,0,0,4,11,0,0,0
3,-1,0,2,2,27,1,0,0
1,97,1,0,2,26,0,0,0
3,-1,0,0,7,14,0,0,1
3,-1,0,0,3,11,0,0,1
3,-1,0,0,1,22,1,0,0
3,-1,0,0,2,16,1,0,0
3,-1,0,0,2,23,0,0,0
3,-1,0,2,2,29,1,0,0
1,94,2,0,7,2,0,0,0
2,33,4,0,2,16,0,0,1
3,-1,0,0,2,22,0,0,0
3,-1,0,0,1,19,0,0,0
0,183,1,0,1,19,1,0,0
3,-1,0,2,2,30,1,0,0
3,-1,0,0,2,3,0,0,0
3,-1,0,2,1,3,0,0,0
3,-1,0,0,3,3,1,0,0
3,-1,0,0,2,8,1,0,0
3,-1,0,0,8,22,0,0,0
3,-1,0,1,2,28,0,0,0
3,-1,0,2,3,27,1,0,0
3,-1,0,0,2,4,0,0,0
1,265,1,0,1,3,1,0,0
0,166,1,0,1,6,0,0,0
3,-1,0,2,1,21,1,0,0
3,-1,0,0,2,3,1,0,0
3,-1,0,1,2,29,0,0,0
3,-1,0,2,1,4,1,0,0
3,-1,0,0,1,18,0,0,0
3,-1,0,0,6,14,0,0,0
3,-1,0,2,1,13,0,0,0
3,-1,0,0,2,26,0,0,0
3,-1,0,0,1,2,0,0,0
3,-1,0,0,1,2,0,0,0
3,-1,0,2,2,21,0,0,0
3,-1,0,2,5,14,1,0,0
3,-1,0,2,2,29,1,0,1
3,-1,0,2,11,20,0,0,0
3,-1,0,0,11,29,0,0,1
0,367,3,0,1,8,1,0,0
3,-1,0,0,1,17,1,0,0
3,-1,0,0,1,29,0,0,0
2,184,1,0,2,2,0,0,1
0,10,7,0,2,25,1,0,1
3,-1,0,0,1,25,1,0,0
0,358,2,0,1,14,1,0,0
3,-1,0,0,1,30,0,0,1
2,179,2,0,1,6,0,0,1
3,-1,0,2,2,28,1,0,0
3,-1,0,0,2,18,0,0,0
3,-1,0,0,2,15,1,0,0
3,-1,0,0,2,15,1,0,0
1,268,2,0,1,15,1,0,0
3,-1,0,2,1,17,1,0,0
0,350,2,0,2,18,1,0,0
3,-1,0,0,1,17,1,0,0
1,352,1,0,1,14,1,0,0
3,-1,0,0,2,10,0,0,0
3,-1,0,0,2,29,1,0,0
3,-1,0,2,1,17,0,0,0
3,-1,0,2,2,27,1,0,0
3,-1,0,0,1,18,0,0,0
3,-1,0,0,2,13,0,0,0
3,-1,0,0,2,5,1,0,0
3,-1,0,0,2,25,0,0,0
3,-1,0,0,2,5,1,0,1
2,91,1,0,1,11,0,0,1
3,-1,0,0,1,25,0,0,0
0,301,1,0,5,15,1,0,0
3,-1,0,2,1,7,1,0,0
1,154,4,0,3,20,1,0,0
3,-1,0,0,1,18,1,0,0
3,-1,0,2,12,29,1,0,0
3,-1,0,2,1,12,1,0,0
0,112,3,0,2,10,1,0,1
3,-1,0,0,5,27,0,0,0
0,345,1,0,1,15,1,0,0
3,-1,0,2,12,3,1,0,0
3,-1,0,0,1,11,1,0,1
3,-1,0,2,1,16,1,0,0
1,330,10,0,10,14,1,0,0
3,-1,0,0,1,26,0,0,0
0,187,3,0,3,3,0,0,0
3,-1,0,0,1,4,0,0,0
0,323,9,0,4,17,1,0,0
1,8,10,0,2,5,1,0,0
3,-1,0,0,2,9,0,0,0
3,-1,0,0,2,27,0,0,0
3,-1,0,2,3,15,1,0,0
3,-1,0,2,1,4,1,0,0
3,-1,0,0,1,20,1,0,0
3,-1,0,0,8,14,0,0,0
3,-1,0,0,2,30,0,0,0
3,-1,0,2,1,21,1,0,0
3,-1,0,0,8,25,0,0,0
3,-1,0,0,1,9,1,0,0
3,-1,0,2,1,23,1,0,0
3,-1,0,0,2,11,1,0,0
3,-1,0,0,1,30,0,0,1
3,-1,0,2,1,7,1,0,0
3,-1,0,0,1,5,0,0,0
3,-1,0,0,2,29,0,0,0
0,78,2,0,2,4,0,0,0
0,273,3,0,1,17,1,0,0
0,364,1,0,1,7,1,0,0
3,-1,0,0,1,27,1,0,0
3,-1,0,0,2,6,0,0,0
3,-1,0,0,2,4,1,0,0
3,-1,0,0,3,8,0,0,0
3,-1,0,2,1,23,0,0,0
3,-1,0,0,2,22,0,0,0
3,-1,0,0,4,22,1,0,0
3,-1,0,0,1,8,1,0,1
0,251,4,0,4,3,1,0,0
3,-1,0,0,2,9,0,0,0
3,-1,0,0,9,21,1,0,0
3,-1,0,0,2,5,0,0,1
3,-1,0,0,1,19,1,0,0
3,-1,0,0,1,15,1,0,1
3,-1,0,2,2,20,1,0,0
3,-1,0,2,7,20,1,0,0
0,185,4,0,2,20,0,0,0
2,188,1,0,2,6,1,0,1
3,-1,0,0,2,6,1,0,0
3,-1,0,2,6,15,1,0,0
3,-1,0,0,1,29,0,0,0
3,-1,0,0,1,30,0,0,1
3,-1,0,0,1,19,1,0,0
3,-1,0,2,5,28,1,0,0
3,-1,0,0,2,1,1,0,1
3,-1,0,0,3,14,1,0,0
3,-1,0,0,13,27,0,0,0
3,-1,0,2,2,19,0,0,0
3,-1,0,2,5,23,1,0,0
3,-1,0,2,1,6,1,0,0
3,-1,0,0,1,15,1,0,0
3,-1,0,0,2,14,0,0,0
3,-1,0,2,1,17,0,0,0
3,-1,0,2,2,20,0,0,0
0,243,1,0,3,17,0,0,0
0,252,4,0,7,14,1,0,0
2,229,28,1,2,22,0,0,0
0,91,1,0,1,11,0,0,0
2,348,1,0,1,13,0,0,1
3,-1,0,0,1,11,0,0,0
3,-1,0,0,1,18,0,0,0
3,-1,0,2,1,3,1,0,0
3,-1,0,1,1,12,0,0,0
1,366,7,0,5,15,1,0,0
1,116,1,0,3,16,1,0,0
3,-1,0,2,7,19,1,0,0
3,-1,0,2,1,17,1,0,0
0,170,2,0,5,12,0,0,0
1,350,1,0,1,14,1,0,0
3,-1,0,0,6,21,1,0,0
3,-1,0,0,2,27,0,0,1
3,-1,0,0,1,30,1,0,0
3,-1,0,2,6,19,0,0,0
0,93,6,0,3,12,1,0,1
3,-1,0,2,1,4,1,0,0
3,-1,0,0,2,17,1,0,0
3,-1,0,0,4,29,0,0,0
3,-1,0,2,1,23,1,0,0
3,-1,0,2,1,23,1,0,0
0,345,2,0,2,7,1,0,0
3,-1,0,0,2,21,0,0,0
3,-1,0,2,3,9,1,0,0
3,-1,0,0,7,25,0,0,0
0,303,1,0,2,8,1,0,0
3,-1,0,2,3,20,0,0,0
3,-1,0,0,5,20,0,0,0
3,-1,0,0,2,6,1,0,0
0,90,1,0,1,20,0,0,0
3,-1,0,0,4,21,0,0,0
3,-1,0,0,1,5,1,0,0
3,-1,0,1,1,12,1,0,0
3,-1,0,0,1,18,1,0,0
1,7,2,0,5,4,0,0,0
3,-1,0,0,1,28,1,0,0
0,176,2,0,1,20,1,0,0
3,-1,0,0,8,18,1,0,0
1,6,6,1,6,3,1,0,0
1,198,5,0,1,5,0,0,0
3,-1,0,0,2,21,0,0,0
3,-1,0,2,3,15,1,0,0
3,-1,0,0,2,18,1,0,0
3,-1,0,0,1,30,1,0,0
3,-1,0,0,2,8,0,0,0
3,-1,0,0,3,25,1,0,1
3,-1,0,0,2,8,1,0,0
0,363,1,0,2,2,0,0,0
1,374,1,0,4,18,1,0,0
3,-1,0,0,2,30,0,0,0
3,-1,0,2,9,21,1,0,0
3,-1,0,2,1,23,1,0,0
1,261,1,0,2,6,1,0,0
3,-1,0,0,1,5,0,0,0
3,-1,0,2,3,15,1,0,0
0,371,1,0,1,15,1,0,0
3,-1,0,0,4,24,0,0,0
3,-1,0,0,1,10,0,0,1
3,-1,0,0,3,12,1,0,0
3,-1,0,0,2,6,0,0,0
3,-1,0,0,11,21,0,0,1
3,-1,0,2,2,8,1,0,0
3,-1,0,2,2,28,1,0,0
3,-1,0,2,1,21,1,0,0
3,-1,0,1,4,23,0,0,0
0,273,4,0,3,6,1,0,0
0,285,1,0,1,5,1,0,0
0,182,3,0,1,10,1,0,0
3,-1,0,2,1,19,1,0,0
3,-1,0,0,4,18,1,0,0
3,-1,0,2,3,5,1,0,0
3,-1,0,0,1,21,1,0,0
3,-1,0,0,1,7,1,0,0
3,-1,0,0,1,3,1,0,0
3,-1,0,0,1,5,1,0,0
3,-1,0,2,2,28,1,0,0
0,170,1,0,1,20,1,0,0
3,-1,0,2,1,8,1,0,0
3,-1,0,0,26,30,0,0,0
0,306,2,0,1,8,1,0,0
3,-1,0,0,5,21,1,0,0
3,-1,0,2,2,26,1,0,0
0,131,1,0,2,18,1,0,0
3,-1,0,2,2,5,1,0,0
3,-1,0,0,1,6,1,0,0
3,-1,0,0,1,25,0,0,1
3,-1,0,2,2,6,1,0,0
3,-1,0,2,2,4,1,0,0
3,-1,0,0,12,26,0,0,0
3,-1,0,2,1,8,0,0,0
3,-1,0,1,9,21,1,0,1
3,-1,0,2,1,2,1,0,0
3,-1,0,1,1,4,0,0,0
3,-1,0,2,1,4,1,0,1
2,314,5,0,1,16,1,0,0
3,-1,0,0,1,8,0,0,0
3,-1,0,0,4,11,1,0,0
3,-1,0,0,1,18,1,0,0
3,-1,0,0,1,12,1,0,0
3,-1,0,2,2,4,1,0,0
3,-1,0,0,1,29,0,0,0
0,239,3,0,5,30,1,0,0
0,310,2,0,3,4,0,0,1
3,-1,0,2,15,16,1,0,0
1,168,2,0,1,19,1,0,0
3,-1,0,0,2,7,1,0,0
3,-1,0,2,1,4,0,0,0
3,-1,0,0,3,4,0,0,0
0,346,3,0,5,4,1,0,0
3,-1,0,0,3,9,0,0,0
3,-1,0,0,1,19,1,0,0
3,-1,0,2,5,21,1,0,0
3,-1,0,0,1,3,1,0,0
3,-1,0,2,1,6,1,0,0
0,343,4,0,2,13,1,0,0
3,-1,0,0,2,20,1,0,1
3,-1,0,2,2,3,1,0,0
3,-1,0,0,3,18,0,0,0
3,-1,0,0,2,20,0,0,0
3,-1,0,0,2,8,0,0,0
0,70,3,0,1,11,0,0,1
3,-1,0,2,2,19,1,0,0
3,-1,0,0,3,8,0,0,0
3,-1,0,2,2,30,1,0,0
3,-1,0,0,1,5,0,0,0
3,-1,0,0,4,25,0,0,0
3,-1,0,0,1,8,1,0,0
3,-1,0,0,5,29,1,0,0
3,-1,0,1,5,6,0,0,0
0,269,4,0,1,18,1,0,0
3,-1,0,0,2,29,0,0,0
3,-1,0,0,2,21,1,0,0
2,481,1,0,2,20,0,0,1
3,-1,0,1,1,18,0,0,0
3,-1,0,2,2,5,1,0,0
3,-1,0,0,1,5,1,0,0
3,-1,0,1,3,4,0,0,0
1,371,1,0,8,15,1,0,0
1,355,1,0,2,6,1,0,0
3,-1,0,0,1,14,0,0,1
3,-1,0,0,1,8,0,0,0
3,-1,0,0,5,18,0,0,0
3,-1,0,2,1,25,0,0,0
2,210,22,0,2,13,0,0,0
3,-1,0,0,1,7,0,0,0
3,-1,0,2,1,19,0,0,0
3,-1,0,2,3,19,0,0,0
3,-1,0,0,1,9,1,0,0
3,-1,0,0,1,14,1,0,0
2,363,2,0,1,12,1,0,0
3,-1,0,0,2,6,0,0,0
3,-1,0,2,2,15,1,0,0
2,83,2,0,2,9,0,0,1
3,-1,0,2,3,30,1,0,0
3,-1,0,2,2,16,1,0,0
3,-1,0,0,3,14,1,0,1
3,-1,0,2,3,29,0,0,0
3,-1,0,2,3,23,0,0,0
3,-1,0,2,1,29,1,0,0
3,-1,0,2,1,9,1,0,0
3,-1,0,0,2,28,0,0,1
3,-1,0,1,1,29,1,0,0
3,-1,0,2,1,23,1,0,0
3,-1,0,0,1,19,0,0,0
3,-1,0,0,1,7,1,0,0
3,-1,0,0,2,31,1,0,0
3,-1,0,2,1,15,1,0,0
0,117,2,0,1,12,1,0,0
3,-1,0,0,2,11,0,0,0
3,-1,0,0,1,3,0,0,0
3,-1,0,0,2,20,1,0,0
0,182,6,0,2,23,1,0,1
3,-1,0,2,2,20,0,0,0
3,-1,0,0,3,30,0,0,0
3,-1,0,2,9,20,1,0,0
0,179,4,0,4,21,1,0,0
3,-1,0,0,6,29,0,0,0
2,352,1,0,2,15,1,0,0
3,-1,0,0,3,11,0,0,0
3,-1,0,0,1,19,0,0,0
0,101,5,0,4,13,0,0,0
3,-1,0,2,3,29,1,0,0
3,-1,0,0,2,30,1,0,0
3,-1,0,0,1,28,0,0,0
3,-1,0,0,1,20,1,0,0
2,203,1,0,8,21,0,0,0
3,-1,0,0,2,29,0,0,0
3,-1,0,0,1,28,0,0,0
1,347,3,0,4,8,1,0,0
0,254,5,0,3,6,1,0,0
1,166,1,1,1,21,1,0,1
3,-1,0,0,1,5,1,0,0
3,-1,0,0,5,29,1,0,0
3,-1,0,1,11,10,0,0,0
3,-1,0,0,2,9,0,0,0
3,-1,0,0,1,15,1,0,1
3,-1,0,0,1,6,1,0,1
2,90,2,0,2,29,0,0,1
3,-1,0,2,2,19,0,0,0
3,-1,0,1,2,22,0,0,0
3,-1,0,2,11,2,1,0,0
3,-1,0,2,1,8,1,0,0
3,-1,0,0,5,22,0,0,0
3,-1,0,0,6,3,0,0,0
2,92,3,0,2,9,0,0,1
3,-1,0,0,1,18,1,0,0
3,-1,0,1,1,11,1,0,0
3,-1,0,0,2,20,1,0,0
3,-1,0,0,2,28,0,0,0
3,-1,0,0,1,29,0,0,0
3,-1,0,2,2,23,1,0,0
3,-1,0,0,3,13,1,0,0
1,331,22,0,4,13,1,0,0
3,-1,0,0,5,31,1,0,0
3,-1,0,0,1,14,0,0,0
3,-1,0,2,1,21,1,0,0
3,-1,0,0,2,1,1,0,1
3,-1,0,2,2,20,1,0,0
0,286,2,0,1,2,0,0,0
3,-1,0,0,2,15,0,0,0
3,-1,0,2,2,17,0,0,0
3,-1,0,0,9,28,0,0,0
3,-1,0,2,2,27,1,0,0
3,-1,0,0,2,11,0,0,0
3,-1,0,0,1,18,1,0,0
0,331,13,0,8,15,0,0,0
0,349,2,0,4,5,1,0,0
3,-1,0,2,4,23,1,0,0
3,-1,0,1,7,4,0,0,0
1,177,1,0,7,14,1,0,0
3,-1,0,2,9,19,1,0,0
3,-1,0,1,2,30,0,0,0
3,-1,0,2,2,20,1,0,1
3,-1,0,0,1,29,1,0,0
3,-1,0,2,2,26,0,0,1
3,-1,0,2,3,30,1,0,0
1,165,5,1,7,5,1,0,0
3,-1,0,0,2,9,0,0,0
2,91,12,0,1,12,1,0,1
1,190,1,1,1,10,0,0,1
3,-1,0,2,2,2,1,0,0
3,-1,0,2,2,12,1,0,0
1,288,12,0,1,14,1,0,0
3,-1,0,2,1,9,1,0,0
0,373,2,0,6,14,1,0,0
3,-1,0,0,5,17,0,0,0
3,-1,0,0,9,27,0,0,0
3,-1,0,0,1,29,0,0,0
0,264,3,0,1,2,1,0,0
3,-1,0,0,2,13,0,0,0
1,420,2,0,2,14,0,0,1
3,-1,0,0,6,22,0,0,0
3,-1,0,2,7,19,1,0,1
3,-1,0,0,9,31,0,0,0
3,-1,0,0,1,18,1,0,0
3,-1,0,2,3,28,1,0,0
1,200,7,0,2,2,1,0,0
0,296,1,0,2,30,0,0,1
3,-1,0,2,2,18,0,0,1
3,-1,0,2,6,4,1,0,0
3,-1,0,2,2,28,1,0,1
3,-1,0,2,3,2,1,0,0
3,-1,0,0,2,28,0,0,0
3,-1,0,0,1,25,0,0,1
3,-1,0,2,4,13,1,0,0
3,-1,0,2,1,18,1,0,0
3,-1,0,0,2,23,1,0,0
2,6,2,0,1,30,0,0,1
3,-1,0,2,2,19,1,0,0
3,-1,0,0,2,18,1,0,0
3,-1,0,1,1,9,0,0,0
3,-1,0,0,3,2,0,0,0
3,-1,0,0,2,4,0,0,0
3,-1,0,0,3,8,1,0,0
0,306,1,0,1,12,1,0,1
3,-1,0,2,1,2,1,0,0
0,349,2,0,2,12,1,0,0
3,-1,0,2,1,3,1,0,0
3,-1,0,2,2,29,1,0,0
3,-1,0,0,3,9,0,0,0
3,-1,0,0,1,17,1,0,0
3,-1,0,0,6,31,1,0,0
3,-1,0,2,2,19,0,0,0
3,-1,0,0,7,18,0,0,1
3,-1,0,0,5,20,0,0,0
2,185,4,0,1,25,0,0,0
3,-1,0,2,2,30,1,0,0
3,-1,0,0,4,8,0,0,0
3,-1,0,0,2,4,0,0,0
3,-1,0,0,1,29,0,0,0
1,258,3,0,1,20,0,0,0
3,-1,0,0,1,7,1,0,0
3,-1,0,0,2,3,0,0,0
3,-1,0,0,3,21,0,0,0
3,-1,0,0,1,18,1,0,0
3,-1,0,0,1,6,1,0,0
3,-1,0,0,4,7,0,0,0
3,-1,0,2,2,4,1,0,0
3,-1,0,0,2,18,0,0,0
3,-1,0,2,3,15,0,0,0
0,352,1,0,1,15,1,0,0
3,-1,0,0,2,12,0,0,0
3,-1,0,2,1,28,1,0,0
3,-1,0,2,2,27,0,0,0
3,-1,0,2,1,19,0,0,0
3,-1,0,0,1,30,0,0,0
3,-1,0,0,2,20,1,0,0
3,-1,0,2,2,9,1,0,0
3,-1,0,0,2,2,1,0,0
1,66,3,0,1,8,1,0,0
3,-1,0,0,1,16,1,0,0
3,-1,0,0,2,15,0,0,0
3,-1,0,0,1,10,0,0,0
2,185,1,0,1,3,0,0,1
3,-1,0,2,2,4,1,0,0
3,-1,0,0,2,11,1,0,0
3,-1,0,0,1,20,0,0,1
3,-1,0,0,5,21,0,0,0
3,-1,0,0,1,7,1,0,0
3,-1,0,2,2,11,1,0,0
3,-1,0,2,2,6,1,0,0
0,343,2,0,1,14,1,0,0
3,-1,0,0,2,22,1,0,0
1,87,2,0,2,30,1,0,0
3,-1,0,0,2,16,0,0,0
3,-1,0,0,1,22,1,0,0
3,-1,0,2,1,21,0,0,1
0,301,1,1,4,14,1,0,0
3,-1,0,0,2,13,0,0,0
3,-1,0,0,2,28,0,0,0
3,-1,0,2,1,9,1,0,0
3,-1,0,2,2,2,1,0,0
3,-1,0,0,2,10,0,0,0
3,-1,0,2,4,26,1,0,0
3,-1,0,2,1,19,1,0,0
3,-1,0,0,1,17,1,0,0
3,-1,0,0,1,17,1,0,0
3,-1,0,2,2,13,1,0,0
1,150,1,0,1,17,1,0,0
3,-1,0,0,1,7,0,0,0
3,-1,0,0,2,13,0,0,0
3,-1,0,2,5,29,1,0,0
3,-1,0,0,5,13,1,0,1
3,-1,0,0,1,18,1,0,0
3,-1,0,2,1,14,1,0,0
3,-1,0,0,1,29,0,0,0
0,117,4,0,2,12,1,0,0
0,265,3,0,3,3,1,0,0
3,-1,0,2,2,19,1,0,0
3,-1,0,2,1,5,1,0,0
3,-1,0,0,3,3,0,0,1
1,305,1,0,1,25,1,0,1
3,-1,0,0,2,19,1,0,0
3,-1,0,0,3,23,0,0,0
0,182,1,0,1,19,1,0,0
3,-1,0,0,1,5,0,0,0
3,-1,0,2,1,11,0,0,1
3,-1,0,0,2,26,0,0,1
3,-1,0,0,6,28,0,0,0
2,39,2,0,1,7,1,0,0
3,-1,0,0,1,8,1,0,0
3,-1,0,0,2,6,1,0,0
1,194,1,0,1,12,0,0,1
3,-1,0,2,2,28,1,0,0
3,-1,0,2,2,9,1,0,0
1,344,8,0,2,12,1,0,0
3,-1,0,2,1,12,0,0,0
3,-1,0,0,2,2,1,0,0
3,-1,0,2,8,6,1,0,0
3,-1,0,0,1,3,0,0,0
2,105,1,0,1,15,0,0,1
3,-1,0,0,2,20,0,0,0
3,-1,0,0,1,21,1,0,0
0,346,10,1,3,15,1,0,0
3,-1,0,1,1,28,0,0,0
3,-1,0,1,1,4,1,0,0
3,-1,0,2,10,11,1,0,0
3,-1,0,2,2,19,1,0,0
3,-1,0,0,2,17,1,0,0
0,363,2,0,1,7,1,0,0
0,293,1,0,1,7,1,0,0
3,-1,0,0,4,26,0,0,0
3,-1,0,0,4,13,0,0,0
2,200,1,0,1,16,0,0,1
3,-1,0,2,5,2,1,0,0
3,-1,0,2,1,23,1,0,0
3,-1,0,2,1,3,1,0,0
3,-1,0,2,1,28,0,0,0
3,-1,0,2,6,12,0,0,1
3,-1,0,0,2,29,0,0,0
3,-1,0,2,2,13,1,0,0
3,-1,0,0,1,28,0,0,0
3,-1,0,0,2,31,0,0,1
3,-1,0,0,3,8,0,0,0
3,-1,0,1,1,17,1,0,1
3,-1,0,2,2,4,0,0,0
0,304,4,0,2,7,1,0,0
2,315,11,0,1,17,1,0,0
3,-1,0,2,2,12,1,0,0
3,-1,0,0,1,13,1,0,0
3,-1,0,0,9,24,0,0,0
3,-1,0,0,2,18,1,0,0
3,-1,0,0,1,3,0,0,1
3,-1,0,2,11,28,1,0,0
3,-1,0,0,5,9,0,0,0
3,-1,0,0,1,7,0,0,0
3,-1,0,0,2,4,1,0,0
0,90,1,0,2,13,1,0,0
3,-1,0,0,2,20,0,0,0
3,-1,0,0,2,7,0,0,0
3,-1,0,0,2,14,0,0,0
3,-1,0,0,2,14,1,0,0
3,-1,0,0,4,17,1,0,0
3,-1,0,0,6,18,1,0,0
3,-1,0,2,1,14,1,0,0
3,-1,0,0,3,27,0,0,0
1,106,2,0,4,21,1,0,0
3,-1,0,0,2,2,1,0,0
2,182,2,0,3,13,0,0,1
3,-1,0,0,4,20,1,0,0
3,-1,0,0,1,14,1,0,0
3,-1,0,1,1,8,0,0,1
3,-1,0,2,2,3,1,0,0
3,-1,0,0,1,20,1,0,0
3,-1,0,0,2,8,1,0,0
3,-1,0,2,3,9,1,0,0
3,-1,0,2,1,16,0,0,0
3,-1,0,0,1,27,0,0,0
3,-1,0,0,1,2,1,0,0
3,-1,0,2,3,12,1,0,0
3,-1,0,0,4,18,1,0,1
3,-1,0,0,15,28,1,0,0
1,80,6,0,1,30,0,0,1
3,-1,0,2,1,3,1,0,0
3,-1,0,2,1,13,0,0,0
3,-1,0,2,1,23,1,0,0
1,361,1,0,2,15,1,0,0
3,-1,0,0,1,17,1,0,0
3,-1,0,0,1,9,0,0,1
3,-1,0,0,2,20,1,0,0
3,-1,0,0,2,30,0,0,0
3,-1,0,0,2,6,0,0,0
3,-1,0,2,6,23,1,0,0
3,-1,0,2,2,8,1,0,0
3,-1,0,2,2,23,1,0,0
